location_info,location_href,upload_id,date_text,date_time,date_title,main_text,comment
,,chef.shindongmin,12주,2022-02-02T16:07:14.000Z,2022년 2월 3일,".
승우아빠 채널
'쭈마카세'에서
저만의 우동 레시피와 튀김 모두 공개합니다
.
자영업자님과 요리를 좋아하시는 분들이
보시고 조금이나마
도움이 되길 바래요^^
.
#쭈마카세 #승우아빠 #주호민작가 #우동 #튀김 #신동민셰프 #김풍작가 #텐뿌라 #신데리소스 #키친마이야르","{""1"": {""comment_id"": ""chef.shindongmin"", ""comment_text"": "".\n승우아빠 채널\n'쭈마카세'에서\n저만의 우동 레시피와 튀김 모두 공개합니다\n.\n자영업자님과 요리를 좋아하시는 분들이\n보시고 조금이나마\n도움이 되길 바래요^^\n.\n#쭈마카세 #승우아빠 #주호민작가 #우동 #튀김 #신동민셰프 #김풍작가 #텐뿌라 #신데리소스 #키친마이야르""}}"
,,yooxicman,7주,2022-03-03T13:39:37.000Z,2022년 3월 3일,"【육식아빠 예약 오픈 안내】

2022년 3월 12일 (토)
육식맨과 승우아빠의
쿠바 샌드위치 팝업 레스토랑 ‘육식’아빠’

3월 4일(금) 18시
캐치테이블에서
예약 오픈합니다.

*** 육식아빠 운영시간 ***
점심 | 13:00~15:00 예약 100%

저녁 | 17:30~21:00 예약 + 현장 방문

* 예약금 : 1인 15,000원

* 예약자 이용방법
1. 캐치테이블로 예약 후 예약금 결제
2. 3월 12일 예약 시간에 방문
3. 이용 후 식사 금액 전액 결제
4. 예약금 환불

+ 예약금은 식사 금액으로 결제되지 않습니다.
식사 금액 전액 결제 후 환불 됩니다.

* 현장 방문 이용 방법
1. 저녁 시간에만 현장 방문으로 이용 가능
2. 웨이팅 접수 시간 : 16:30~17:20

* 당일 유튜브 촬영 진행되며 촬영 및 초상권 사용에 동의해야 이용 가능합니다.

KITCHEN & LIVE STUDIO
by #승우아빠 @swab_official
with #육식맨 @yooxicman
#육식아빠
#키친마이야르
#kitchenmaillard","{""1"": {""comment_id"": ""yooxicman"", ""comment_text"": ""【육식아빠 예약 오픈 안내】\n\n2022년 3월 12일 (토)\n육식맨과 승우아빠의\n쿠바 샌드위치 팝업 레스토랑 ‘육식’아빠’\n\n3월 4일(금) 18시\n캐치테이블에서\n예약 오픈합니다.\n\n*** 육식아빠 운영시간 ***\n점심 | 13:00~15:00 예약 100%\n\n저녁 | 17:30~21:00 예약 + 현장 방문\n\n* 예약금 : 1인 15,000원\n\n* 예약자 이용방법\n1. 캐치테이블로 예약 후 예약금 결제\n2. 3월 12일 예약 시간에 방문\n3. 이용 후 식사 금액 전액 결제\n4. 예약금 환불\n\n+ 예약금은 식사 금액으로 결제되지 않습니다.\n식사 금액 전액 결제 후 환불 됩니다.\n\n* 현장 방문 이용 방법\n1. 저녁 시간에만 현장 방문으로 이용 가능\n2. 웨이팅 접수 시간 : 16:30~17:20\n\n* 당일 유튜브 촬영 진행되며 촬영 및 초상권 사용에 동의해야 이용 가능합니다.\n\nKITCHEN & LIVE STUDIO\nby #승우아빠 @swab_official\nwith #육식맨 @yooxicman\n#육식아빠\n#키친마이야르\n#kitchenmaillard""}, ""2"": {""comment_id"": ""yooxicman"", ""comment_text"": ""육식아빠라니...❤️ 육식맨님 팬 4세아기 데려가고싶은데 혹시 노키즈존은.. 아니겠죠...?""}, ""3"": {""comment_id"": ""yenuuuu"", ""comment_text"": ""너무 좋아요 이 조합❤️""}, ""4"": {""comment_id"": ""beckyday__"", ""comment_text"": ""제발 부디 당첨 가즈아!!🔥🔥""}, ""5"": {""comment_id"": ""reminder80"", ""comment_text"": ""아빠고기 맛있어요!""}, ""6"": {""comment_id"": ""lightingdesigner"", ""comment_text"": ""기도중입니댜..""}, ""7"": {""comment_id"": ""ggok_iruma"", ""comment_text"": ""기다리겠습니다!!!""}, ""8"": {""comment_id"": ""ounyoung_k"", ""comment_text"": ""세상에...😮""}, ""9"": {""comment_id"": ""zeyzor__28"", ""comment_text"": ""유튜브촬영으로 만족해야겠네요😢""}, ""10"": {""comment_id"": ""food_alchemist_95"", ""comment_text"": ""담엔 푸드트럭 컨셉으로 전국일주 팬미팅 해요""}, ""11"": {""comment_id"": ""drawingboy_4"", ""comment_text"": ""부산 거주자 추첨만 넣고 오열중😂""}, ""12"": {""comment_id"": ""prep_boy_w"", ""comment_text"": ""뭐야 육식맨님 인스타있는거 처음 알았네요""}, ""13"": {""comment_id"": ""tkl_jcshin"", ""comment_text"": ""존경하는 형님!! 기다리겠습니다🔥🔥🔥""}, ""14"": {""comment_id"": ""mingyuoninsta"", ""comment_text"": ""만나면 하고싶은말도 대본다 적어놨어요....!무적권 갈것임미다!!""}, ""15"": {""comment_id"": ""_bullet_giu"", ""comment_text"": ""언제 수정하시나 기다렸습니다ㅠㅠ 바로 갑니다""}, ""16"": {""comment_id"": ""lun.g_highndry"", ""comment_text"": ""🙏🙏""}, ""17"": {""comment_id"": ""jhlee_0626"", ""comment_text"": ""🔥🔥🔥🔥🔥""}, ""18"": {""comment_id"": ""classy_and_simple"", ""comment_text"": ""너무 떨리네요 ㅠㅠ 가고싶어요 ㅠㅠ""}, ""19"": {""comment_id"": ""suiklee"", ""comment_text"": ""우와""}, ""20"": {""comment_id"": ""lovely_jeeyoung"", ""comment_text"": ""@xeoneex @kelsey_kimm 파이팅..💜""}, ""21"": {""comment_id"": ""jimzimni"", ""comment_text"": ""@jimzimni 당첨 가즈아""}, ""22"": {""comment_id"": ""kelsey_kimm"", ""comment_text"": ""@jimzimni 떨리네 괜히 ㅋ""}, ""23"": {""comment_id"": ""xeoneex"", ""comment_text"": ""@yeanjunglim 빠이팅!""}, ""24"": {""comment_id"": ""thus_jeong"", ""comment_text"": ""@thus_jeong 가즈아아아!""}}"
,,chef.shindongmin,14주,2022-01-14T12:17:48.000Z,2022년 1월 14일,".
오세득셰프와 둘이서
주문 🤪
.
ㅁㅇㅇㄹ 가 흘러넘치는
맛집으로 대박 나세요~^^
.
손님들 대기가~
어마어마
.
오픈 매장에는
늘 #레벤플라워 작품으로
선물 💐
.
#키친마이야르 #승우아빠 #오픈 #오세득셰프","{""1"": {""comment_id"": ""chef.shindongmin"", ""comment_text"": "".\n오세득셰프와 둘이서\n주문 🤪\n.\nㅁㅇㅇㄹ 가 흘러넘치는\n맛집으로 대박 나세요~^^\n.\n손님들 대기가~\n어마어마\n.\n오픈 매장에는\n늘 #레벤플라워 작품으로\n선물 💐\n.\n#키친마이야르 #승우아빠 #오픈 #오세득셰프""}, ""2"": {""comment_id"": ""chef.shindongmin"", ""comment_text"": ""비주얼이 유튜브에서 소개하신거랑 똑같네요ㅎㅎ""}, ""3"": {""comment_id"": ""woohye0nii"", ""comment_text"": ""승우아빠가 가게 오픈한거야??""}, ""4"": {""comment_id"": ""namcaroline"", ""comment_text"": ""@namcaroline 네~^^""}, ""5"": {""comment_id"": ""chef.shindongmin"", ""comment_text"": ""맛있어 보이네요 소통해요 ㅎㅎ""}}"
,,high.eatend,10주,2022-02-10T15:23:46.000Z,2022년 2월 11일,"유투버 승우아빠님의 문화복합공간 ‘키친 마이야르’. 바로 앞에서 생방송을 보며 황금볶음밥의 업글ver.을 먹어볼 수 있는 절호의 기회다.

압구정 #키친마이야르

유튜브에서만 보던 승우아빠님이 직접 해주시는 요리가 눈앞에. 채널 떡상의 1등공신 황금볶음밥을 먹을 수 있는 절호의 기회다. 무려 승빠님이 하는 생방을 보며.

오므라이스 황금볶음밥. 그런데 마파소스를 곁들인. 신선하게도 파 대신 마늘쫑이 많이 들어가서 마늘 향이 극대화 되어있다. 회오리 오믈렛가 올라가 부드럽고 다량이 마늘쫑과 마파소스가 느끼함을 확 잡아줘 맛있게 먹었다. 먹었던 메뉴 중 가장 맛있었다.

다진채소와 육류를 볶아 만드는 일본식 요리기법인 ‘소보로’. 그걸 파스타요리에 가미한 ‘소보로 파스타’다. 그라나파다노 치즈와 수란이 올라가 느끼할 뻔 하다가 페퍼론치노와 마늘쫑이 다 달아나게 해서 벨런스가 좋았다.

무려 커다란 제주산 돈마호크가 들어가는 ’마이야르 스테이크’. 커다란 돈마호크를 통째로 구워 육즙은 기본적으로 가득 머금고 있어 촉촉하다. 고소한 돈마호크의 느끼함을 양파를 캐라멜라이징한 그레이비 소스가 잡아준다. 여담이자만 전세계적으로 감자수급이 부족해서 감튀를 고구마로 대체한다고.

단순한 일반 식당이라고 할 수 없다. 식사 뿐만아니라 생방송을 눈앞에서 보고 대화하고, 현장감을 느낄 수 있는 문화복합공간이라고 생각한다.

그냥 방문해서는 먹지 못한다. 이미 전국각지에서 모인 사람들이 오후 4시부터 긴 웨이팅을 이룬다. 이미 최근 예약은 꽉 차있기에 오픈 1시간 전에 직접 웨이팅은 필수.

먹어보고 느낀 총평은 ‘정말 배부르게 잘먹었다.’라는 생각이 들었다. 방송을 보며 현장감을 느끼고 승우아빠님을 눈앞에서 볼 수 있다는 점이 가장 큰 매리트였던 것 같다.

#하잇 #하잇_압구정

#압구정맛집 #압구정데이트 #가로수길맛집","{""1"": {""comment_id"": ""high.eatend"", ""comment_text"": ""유투버 승우아빠님의 문화복합공간 ‘키친 마이야르’. 바로 앞에서 생방송을 보며 황금볶음밥의 업글ver.을 먹어볼 수 있는 절호의 기회다.\n\n압구정 #키친마이야르\n\n유튜브에서만 보던 승우아빠님이 직접 해주시는 요리가 눈앞에. 채널 떡상의 1등공신 황금볶음밥을 먹을 수 있는 절호의 기회다. 무려 승빠님이 하는 생방을 보며.\n\n오므라이스 황금볶음밥. 그런데 마파소스를 곁들인. 신선하게도 파 대신 마늘쫑이 많이 들어가서 마늘 향이 극대화 되어있다. 회오리 오믈렛가 올라가 부드럽고 다량이 마늘쫑과 마파소스가 느끼함을 확 잡아줘 맛있게 먹었다. 먹었던 메뉴 중 가장 맛있었다.\n\n다진채소와 육류를 볶아 만드는 일본식 요리기법인 ‘소보로’. 그걸 파스타요리에 가미한 ‘소보로 파스타’다. 그라나파다노 치즈와 수란이 올라가 느끼할 뻔 하다가 페퍼론치노와 마늘쫑이 다 달아나게 해서 벨런스가 좋았다.\n\n무려 커다란 제주산 돈마호크가 들어가는 ’마이야르 스테이크’. 커다란 돈마호크를 통째로 구워 육즙은 기본적으로 가득 머금고 있어 촉촉하다. 고소한 돈마호크의 느끼함을 양파를 캐라멜라이징한 그레이비 소스가 잡아준다. 여담이자만 전세계적으로 감자수급이 부족해서 감튀를 고구마로 대체한다고.\n\n단순한 일반 식당이라고 할 수 없다. 식사 뿐만아니라 생방송을 눈앞에서 보고 대화하고, 현장감을 느낄 수 있는 문화복합공간이라고 생각한다.\n\n그냥 방문해서는 먹지 못한다. 이미 전국각지에서 모인 사람들이 오후 4시부터 긴 웨이팅을 이룬다. 이미 최근 예약은 꽉 차있기에 오픈 1시간 전에 직접 웨이팅은 필수.\n\n먹어보고 느낀 총평은 ‘정말 배부르게 잘먹었다.’라는 생각이 들었다. 방송을 보며 현장감을 느끼고 승우아빠님을 눈앞에서 볼 수 있다는 점이 가장 큰 매리트였던 것 같다.\n\n#하잇 #하잇_압구정\n\n#압구정맛집 #압구정데이트 #가로수길맛집""}, ""2"": {""comment_id"": ""high.eatend"", ""comment_text"": ""@252_25o 오므라이스!!""}, ""3"": {""comment_id"": ""yhj_25"", ""comment_text"": ""@asdl4783""}, ""4"": {""comment_id"": ""miso__s2"", ""comment_text"": ""@hohyunk""}, ""5"": {""comment_id"": ""grovv_"", ""comment_text"": ""@grovv_ 오우 씨""}, ""6"": {""comment_id"": ""hohyunk"", ""comment_text"": ""돈마호크비쥴미쳤네유👏👏""}, ""7"": {""comment_id"": ""girlssmile__"", ""comment_text"": ""@hyemmm_n 나가면 여기가잡!!!""}, ""8"": {""comment_id"": ""flsl6819"", ""comment_text"": ""@flsl6819 오옹 쪼아""}, ""9"": {""comment_id"": ""hyemmm_n"", ""comment_text"": ""하잇님 여기 다녀오셨군요..😮 미친 웨이팅 감당할 자신이 없어서 예약이라도 시도해봤지만 또 다시 실패한 나란 인간..😂""}, ""10"": {""comment_id"": ""ddu_unnie"", ""comment_text"": ""헐넘 맛나보여요❤️""}, ""11"": {""comment_id"": ""zooa__03"", ""comment_text"": ""@thereish 진짜 선별하면서 태그하는건뎁...먹고싶은게 넘 많군욜....ㅜㅎ""}, ""12"": {""comment_id"": ""about_meeeeeee"", ""comment_text"": ""@about_meeeeeee 🤔 점심 저녁 다 먹을까""}, ""13"": {""comment_id"": ""thereish"", ""comment_text"": ""@thereish 사실 전 답정너🥳🥳 거리를 고려해서 또 보께요!!!!!""}, ""14"": {""comment_id"": ""about_meeeeeee"", ""comment_text"": ""@hongsgp""}, ""15"": {""comment_id"": ""kmboyeon_"", ""comment_text"": ""@kmboyeon_ 😋😋😋😋""}, ""16"": {""comment_id"": ""hongsgp"", ""comment_text"": ""@nh._.zoo""}, ""17"": {""comment_id"": ""lim._.sm2"", ""comment_text"": ""@lim._.sm2 가쟈아❤❤❤""}, ""18"": {""comment_id"": ""nh._.zoo"", ""comment_text"": ""@iamleejieunswife""}, ""19"": {""comment_id"": ""association._.0816"", ""comment_text"": ""와 여기 대박인데요🙌❤️""}, ""20"": {""comment_id"": ""le._.mooon"", ""comment_text"": ""오므라이스 황금볶음밥 너무 맛있을거 같아요! 보는재미도 있고 먹는 재미도 있어서 더 좋았을 것 같네요 ❤""}, ""21"": {""comment_id"": ""sugar_su99"", ""comment_text"": ""먹음직스럽네요😍 즐거운 주말 보내세요!!""}, ""22"": {""comment_id"": ""taster_v"", ""comment_text"": ""소통해요 우리 ˃.˂ 선팔하고 갈께요:)""}, ""23"": {""comment_id"": ""whatsell_40"", ""comment_text"": ""음식이 하나하나 다 맛있어보이네요...❤️❤️""}, ""24"": {""comment_id"": ""piglet_ong"", ""comment_text"": ""먹그싶당""}, ""25"": {""comment_id"": ""su.0320"", ""comment_text"": ""우와 승우아빠님,, 실물보셨군요!!""}, ""26"": {""comment_id"": ""eat__dadom"", ""comment_text"": ""꺄 키친마이야르 다녀오셨군요!!😍 역시나 맛나보이네요..🔥❤️이번에 혼자 가게 되었는데 혹시 가장 추천해주시는 메뉴라면 무엇일까용?!""}, ""27"": {""comment_id"": ""reumah.cnlal"", ""comment_text"": ""@jjiss___u 이건 또 뭐냐고 하""}}"
